Site,Year,Habitat,Specimen,SubplotLoc,Genus,species, DBH,Biomass,Health
FIP1,2017,RF,2832,Center,Acer,saccharum,30.7,557.04,1
FIP1,2017,RF,2833,Center,Acer,saccharum,15,97.44,1
FIP1,2017,RF,2834,Center,Acer,saccharum,13.8,79.54,2
FIP1,2017,RF,2835,North,Acer,saccharum,20.3,203.52,1
FIP1,2017,RF,2836,North,Acer,saccharum,18,151.87,2
FIP1,2017,RF,2838,North,Acer,saccharum,14.5,89.72,2
FIP1,2017,RF,2855,Southeast,Acer,saccharum,23,275.81,1
FIP1,2017,RF,2856,Southeast,Acer,saccharum,15,97.44,1
FIP1,2017,RF,2857,Southeast,Acer,saccharum,17,132.15,1
FIP1,2017,RF,2837,North,Liriodendron,tulipifera,61.9,2358.38,1
FIP1,2017,RF,2837,North,Liriodendron,tulipifera,61.8,2348.93,1
FIP1,2017,RF,2845,North,Nyssa,sylvatica,61.5,2320.71,1
FIP1,2017,RF,2830,Center,Quercus,rubra,36.3,837.57,1
FIP1,2017,RF,2854,Southeast,Quercus,montana,17.3,99.46,3
FIP2,2017,AM,2558,Center,Acer,saccharinum,23.5,258.35,1
FIP2,2017,AM,2560,Center,Acer,saccharinum,29.1,428.3,2
FIP2,2017,AM,2565,North,Acer,saccharinum,25.2,304.76,3
FIP2,2017,AM,2571,Southeast,Acer,saccharinum,27.6,377.91,1
FIP2,2017,AM,2575,Southeast,Acer,saccharinum,24.6,287.87,3
FIP2,2017,AM,2559,Center,Ailanthus,altissima,26.9,297.67,3
FIP2,2017,AM,2569,Southeast,Ailanthus,altissima,20.7,155.3,2
FIP2,2017,AM,2600,Center,Fraxinus,americana,29.1,361.85,5
FIP2,2017,AM,2561,Center,Liquidambar,styraciflua,21.6,172.61,1
FIP2,2017,AM,2562,North,Liquidambar,styraciflua,36.3,626.58,2
FIP2,2017,AM,2557,Center,Liriodendron,tulipifera,20.4,149.77,1
FIP2,2017,AM,2564,North,Liriodendron,tulipifera,28.1,331.75,2
FIP2,2017,AM,2570,Southeast,Liriodendron,tulipifera,19,125.53,1
FIP2,2017,AM,2574,Southeast,Liriodendron,tulipifera,25.6,263.22,2
FIP2,2017,AM,2556,Center,Populus,deltoides,30,368.06,4
FIP2,2017,AM,2563,North,Populus,deltoides,28.4,322.93,4
FIP2,2017,AM,2576,Southeast,Populus,deltoides,23.5,205.49,1
FIP2,2017,AM,2567,Southwest,Quercus,rubra,13.1,70.07,2
FIP2,2017,AM,2572,Southeast,Quercus,rubra,13.7,78.14,1
FIP2,2017,AM,2573,Southeast,Quercus,rubra,14.1,83.82,1
FIP2,2017,AM,2566,Southwest,Robinia,pseudoacacia,13.3,51.76,1
FIP2,2017,AM,2568,Southwest,Robinia,pseudoacacia,13.7,55.72,2
FIP3,2017,PPF,2652,Southeast,Ailanthus ,altissima,39.9,792.44,1
FIP3,2017,PPF,2931,Center,Pinus,strobus,37.1,524.89,3
FIP3,2017,PPF,2932,Center,Pinus,strobus,35.2,461.83,1
FIP3,2017,PPF,2933,Center,Pinus,strobus,49.9,1080.21,1
FIP3,2017,PPF,2934,Center,Pinus,strobus,36.9,518.03,2
FIP3,2017,PPF,2935,Center,Pinus,strobus,29,288.13,1
FIP3,2017,PPF,2936,Center,Pinus,strobus,37,521.46,1
FIP3,2017,PPF,2937,Center,Pinus,strobus,24.8,196.86,2
FIP3,2017,PPF,2944,Southwest,Pinus,strobus,30.7,331.01,1
FIP3,2017,PPF,2945,Southwest,Pinus,strobus,42,709.99,1
FIP3,2017,PPF,2946,Southwest,Pinus,strobus,36.6,507.84,1
FIP3,2017,PPF,2947,Southwest,Pinus,strobus,56.8,1480.7,1
FIP3,2017,PPF,2926,Southeast,Pinus,strobus,61,1761.58,1
FIP3,2017,PPF,2653,North,Pinus,strobus,45.7,872.03,2
FIP3,2017,PPF,2653,North,Pinus,strobus,25.1,202.71,4
FIP3,2017,PPF,2654,North,Pinus,strobus,29.6,302.87,2
FIP3,2017,PPF,2664,North,Pinus,strobus,48.4,1002.84,1
FIP3,2017,PPF,2930,Center,Ulmus,americana,20.1,144.36,4
FIP4,2017,AM,2973,Southeast,Acer,negundo,20,176.43,2
FIP4,2017,AM,2971,Southeast,Ailanthus,altissima,32.5,476.12,1
FIP4,2017,AM,2974,Southeast,Ailanthus,altissima,19.1,127.17,2
FIP4,2017,AM,2977,Southeast,Ailanthus,altissima,19.1,127.17,2
FIP4,2017,AM,2985,North,Ailanthus,altissima,19.8,139.06,1
FIP4,2017,AM,2986,North,Fraxinus,,14.2,60.91,3
FIP4,2017,AM,2965,Center,Fraxinus,,34.7,560.22,3
FIP4,2017,AM,2604,Southwest,Liquidambar,styraciflua,13.1,49.85,2
FIP4,2017,AM,2606,Southwest,Liquidambar,styraciflua,21.8,176.61,1
FIP4,2017,AM,2603,Southwest,Liquidambar,styraciflua,48.1,1260.54,1
FIP4,2017,AM,2979,Southeast,Liriodendron,tulipifera,28.2,334.69,1
FIP4,2017,AM,2981,Southeast,Liriodendron,tulipifera,22.2,184.76,1
FIP4,2017,AM,2972,Southeast,Populus,deltoides,35.3,542.68,1
FIP4,2017,AM,2978,Southeast,Populus,deltoides,32.9,458.73,1
FIP4,2017,AM,2983,North,Populus,deltoides,37.5,626.92,2
FIP4,2017,AM,2982,North,Populus,deltoides,35.8,561.21,1
FIP4,2017,AM,2984,North,Populus,deltoides,24.7,231.43,3
FIP4,2017,AM,2605,Southwest,Robinia,pseudoacacia,31.7,447.54,4
TSC10,2017,AF,2808,Southeast,Acer,rubrum,27,358.77,1
TSC10,2017,AF,2809,Southeast,Acer,rubrum,18.8,152.41,1
TSC10,2017,AF,2812,Southeast,Acer,saccharum,23.1,278.74,1
TSC10,2017,AF,2801,Center,Acer,saccharum,35.2,777.12,1
TSC10,2017,AF,2819,Southwest,Cercis,canadensis,18.6,119.07,3
TSC10,2017,AF,2829,Southwest,Cornus,florida,16.1,83.2,2
TSC10,2017,AF,2825,Southwest,Cornus,florida,15.5,75.71,1
TSC10,2017,AF,2814,Southeast,Fraxinus,americana,14.3,61.98,2
TSC10,2017,AF,2821,Southwest,Liriodendron,tulipifera,32.2,465.28,1
TSC10,2017,AF,2822,Southwest,Liriodendron,tulipifera,37.4,674.8,1
TSC10,2017,AF,2828,North,Liriodendron,tulipifera,44.1,1016.04,1
TSC10,2017,AF,2806,Center,Liriodendron,tulipifera,32.6,479.76,5
TSC10,2017,AF,2823,Southwest,Nyssa,sylvatica,20.2,146.15,2
TSC10,2017,AF,2826,North,Nyssa,sylvatica,27.9,325.92,2
